Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.00480248
2.01	-0.051111
2.02	-0.0961329
2.03	-0.134553
2.04	-0.144133
2.05	-0.143881
2.06	-0.141727
2.07	-0.113095
2.08	-0.110999
2.09	-0.109845
2.1	-0.101973
2.11	-0.10055
2.12	-0.0877704
2.13	-0.0839656
2.14	-0.0760171
2.15	-0.0687267
2.16	-0.0576685
2.17	-0.027602
2.18	-0.0120865
2.19	0.00714593
2.2	0.0235745
2.21	0.0205183
2.22	0.0241927
2.23	0.00148321
2.24	-0.0272967
2.25	-0.0425951
2.26	-0.0572166
2.27	-0.0546317
2.28	-0.0673945
2.29	-0.0691265
2.3	-0.0451139
2.31	-0.00867149
2.32	0.111968
2.33	0.283019
2.34	0.333797
2.35	0.21571
2.36	0.0557136
2.37	-0.0218207
2.38	-0.0482309
2.39	-0.0450774
2.4	-0.0422342
2.41	-0.0533906
2.42	-0.0486093
2.43	-0.0485341
2.44	-0.0429104
2.45	-0.0417855
2.46	-0.0464879
2.47	-0.0306706
2.48	-0.0280151
2.49	-0.0242657
2.5	-0.022099
2.51	-0.0222201
2.52	-0.00553599
2.53	-0.00424536
2.54	0.00477245
2.55	0.0106476
2.56	0.00369103
2.57	0.0185248
2.58	0.024048
2.59	0.0299291
2.6	0.0388657
2.61	0.0409792
2.62	0.0502189
2.63	0.0405085
2.64	0.0336612
2.65	0.0263695
2.66	0.0132213
2.67	0.0150116
2.68	0.00849251
2.69	0.00696182
2.7	0.0106484
2.71	0.0107559
2.72	0.020444
2.73	0.015732
2.74	0.0160427
2.75	0.0177724
2.76	0.0108909
2.77	0.0154439
2.78	0.00323194
2.79	0.00214594
2.8	0.00872497
2.81	0.00172797
2.82	0.00314464
2.83	0.00157517
2.84	0.0026304
2.85	0.00270363
2.86	-0.00580736
2.87	-0.000119672
2.88	-0.00678043
2.89	-0.00907604
2.9	-0.0142664
2.91	-0.0196148
2.92	-0.0086129
2.93	-0.0132083
2.94	-0.00995138
2.95	-0.00485598
2.96	-0.0102572
2.97	-0.00150466
2.98	-0.0132666
2.99	-0.0218897
3	-0.0118593
3.01	-0.00261326
3.02	0.0207399
3.03	0.0245558
3.04	0.0436824
3.05	0.064414
3.06	0.063772
3.07	0.0588503
3.08	0.0300857
3.09	-0.000341044
3.1	-0.0204416
3.11	-0.0351422
3.12	-0.0314081
3.13	-0.0408329
3.14	-0.0371719
3.15	-0.0198462
3.16	0.0124099
3.17	0.140508
3.18	0.305376
3.19	0.346638
3.2	0.224524
3.21	0.067003
3.22	-0.00690062
3.23	-0.0350986
3.24	-0.0414393
3.25	-0.0414138
3.26	-0.0499856
3.27	-0.042566
3.28	-0.0430181
3.29	-0.03741
3.3	-0.0352633
3.31	-0.0425504
3.32	-0.032834
3.33	-0.0296944
3.34	-0.0231861
3.35	-0.0200234
3.36	-0.0265197
3.37	-0.0159648
3.38	-0.0155225
3.39	-0.00564048
3.4	0.00430922
3.41	0.0020519
3.42	0.0135343
3.43	0.0122767
3.44	0.0176013
3.45	0.0311578
3.46	0.0362317
3.47	0.0469226
3.48	0.0327613
3.49	0.0197139
3.5	0.0117417
3.51	-0.0069476
3.52	-0.00492201
3.53	-0.0103676
3.54	-0.00834449
3.55	8.49439e-05
3.56	-0.00171341
3.57	0.00664067
3.58	0.00358329
3.59	0.00461375
3.6	0.00803239
3.61	0.00134021
3.62	0.00127989
3.63	-0.00735595
3.64	-0.000307207
3.65	0.00159134
3.66	-0.0129418
3.67	-0.00862341
3.68	-0.013198
3.69	-0.013954
3.7	-0.0144832
3.71	-0.0240213
3.72	-0.0186503
3.73	-0.023392
3.74	-0.0224452
3.75	-0.019669
3.76	-0.0290267
3.77	-0.0267851
3.78	-0.0316065
3.79	-0.0295629
3.8	-0.0274844
3.81	-0.0332886
3.82	-0.0251612
3.83	-0.0279483
3.84	-0.0291309
3.85	-0.0235145
3.86	-0.0172757
3.87	0.00450657
3.88	0.0120201
3.89	0.0291144
3.9	0.0515028
3.91	0.0515474
3.92	0.0433557
3.93	0.015762
3.94	-0.0107508
3.95	-0.0335236
3.96	-0.0550561
3.97	-0.0549652
3.98	-0.0643302
3.99	-0.0586142
4	-0.040851
4.01	-0.0224891
4.02	0.0884959
4.03	0.254302
4.04	0.319432
4.05	0.218378
4.06	0.0570034
4.07	-0.0253886
4.08	-0.0587244
4.09	-0.0689735
4.1	-0.0687117
4.11	-0.0676714
4.12	-0.0568262
4.13	-0.0512708
4.14	-0.0418104
4.15	-0.0388592
4.16	-0.0461965
4.17	-0.0394887
4.18	-0.0434495
4.19	-0.039585
4.2	-0.0297801
4.21	-0.0255603
4.22	-0.0172663
4.23	-0.017426
4.24	-0.00693126
4.25	-0.000490462
4.26	-0.00488966
4.27	0.0038665
4.28	0.0021292
4.29	0.0164723
4.3	0.041709
4.31	0.0435621
4.32	0.0463837
4.33	0.0319934
4.34	0.0217846
4.35	0.0132464
4.36	0.000424303
4.37	0.0095814
4.38	0.00642682
4.39	0.00823372
4.4	0.0120228
4.41	4.84303e-05
4.42	0.00235412
4.43	-0.00658291
